datetime,plant_id,plant_name,gen_mw,prev_gen,drop,year,month_str,ptf_tl_mwh,ptf_fallback,ptf_source,energy_lost_mwh,revenue_loss_tl,balancing_cost_tl,total_loss_tl,tl_usd_rate,total_loss_usd,yekdem_loss_usd
2025-04-07 06:00:00+00:00,12324,EBER RES,0.0,57.06,57.06,2025,2025-04,2799.47,2500.01,actual,57.06,159737.75819999998,23960.663729999997,183698.42192999998,36.0,5102.733942499999,4165.38
2022-03-03 13:00:00+00:00,12355,CERİT RES_(PAKMEM),7.95,67.41,59.459999999999994,2022,2022-03,1745.0,2347.5,actual,59.459999999999994,103757.69999999998,15563.654999999997,119321.35499999998,16.5,7231.597272727272,4340.58
2022-06-24 17:00:00+00:00,12355,CERİT RES_(PAKMEM),9.13,62.05,52.919999999999995,2022,2022-06,2359.98,2347.5,actual,52.919999999999995,124890.14159999999,18733.52124,143623.66283999998,16.5,8704.464414545453,3863.1599999999994
2023-03-14 21:00:00+00:00,12355,CERİT RES_(PAKMEM),0.0,61.26,61.26,2023,2023-03,1931.55,2183.385,actual,61.26,118326.753,17749.01295,136075.76595,23.0,5916.33765,4471.98
2023-05-28 00:00:00+00:00,12355,CERİT RES_(PAKMEM),9.22,54.79,45.57,2023,2023-05,1199.98,2183.385,actual,45.57,54683.0886,8202.46329,62885.55189,23.0,2734.15443,3326.61
2025-04-29 10:00:00+00:00,12355,CERİT RES_(PAKMEM),7.19,53.05,45.86,2025,2025-04,485.11,2500.01,actual,45.86,22247.1446,3337.0716899999998,25584.21629,36.0,710.6726747222223,3347.7799999999997
2022-06-23 12:00:00+00:00,12663,ÜÇPINAR RES,1.94,56.72,54.78,2022,2022-06,2579.51,2347.5,actual,54.78,141305.5578,21195.83367,162501.39147,16.5,9848.56918,3998.94
2022-06-30 11:00:00+00:00,12663,ÜÇPINAR RES,0.0,53.25,53.25,2022,2022-06,2493.05,2347.5,actual,53.25,132754.9125,19913.236875,152668.149375,16.5,9252.615113636364,3887.25
2023-04-26 09:00:00+00:00,12663,ÜÇPINAR RES,0.0,78.5,78.5,2023,2023-04,1699.0,2183.385,actual,78.5,133371.5,20005.725,153377.225,23.0,6668.575,5730.5
2023-11-04 17:00:00+00:00,12663,ÜÇPINAR RES,8.88,67.69,58.809999999999995,2023,2023-11,1449.99,2183.385,actual,58.809999999999995,85273.91189999999,12791.086784999998,98064.99868499998,23.0,4263.695594999999,4293.129999999999
2023-11-13 13:00:00+00:00,12663,ÜÇPINAR RES,0.0,56.0,56.0,2023,2023-11,2700.0,2183.385,actual,56.0,151200.0,22680.0,173880.0,23.0,7560.0,4088.0
2023-11-26 06:00:00+00:00,12663,ÜÇPINAR RES,7.13,51.44,44.309999999999995,2023,2023-11,980.0,2183.385,actual,44.309999999999995,43423.799999999996,6513.569999999999,49937.369999999995,23.0,2171.1899999999996,3234.6299999999997
2023-11-26 19:00:00+00:00,12663,ÜÇPINAR RES,8.31,58.0,49.69,2023,2023-11,2245.0,2183.385,actual,49.69,111554.04999999999,16733.1075,128287.15749999999,23.0,5577.702499999999,3627.37
2023-11-29 20:00:00+00:00,12663,ÜÇPINAR RES,9.6,69.84,60.24,2023,2023-11,1594.97,2183.385,actual,60.24,96080.9928,14412.148920000001,110493.14172000001,23.0,4804.04964,4397.52
2023-12-22 22:00:00+00:00,12663,ÜÇPINAR RES,2.85,52.17,49.32,2023,2023-12,2290.0,2183.385,actual,49.32,112942.8,16941.42,129884.22,23.0,5647.14,3600.36
2025-03-16 08:00:00+00:00,12663,ÜÇPINAR RES,0.0,87.0,87.0,2025,2025-03,0.0,2500.01,actual,87.0,0.0,0.0,0.0,36.0,0.0,6351.0
2022-10-09 08:00:00+00:00,13004,HASANOBA RES,2.14,53.0,50.86,2022,2022-10,2799.98,2347.5,actual,50.86,142406.9828,21361.04742,163768.03022,16.5,9925.335164848484,3712.7799999999997
2022-02-02 22:00:00+00:00,13163,DENİZLİ RES,0.0,52.0,52.0,2022,2022-02,1196.64,2347.5,actual,52.0,62225.280000000006,9333.792000000001,71559.07200000001,16.5,4336.913454545455,3796.0
2022-06-03 19:00:00+00:00,13163,DENİZLİ RES,4.0,60.0,56.0,2022,2022-06,2499.5,2347.5,actual,56.0,139972.0,20995.8,160967.8,16.5,9755.624242424241,4088.0
2023-01-11 04:00:00+00:00,13163,DENİZLİ RES,0.0,54.0,54.0,2023,2023-01,3376.99,2183.385,actual,54.0,182357.46,27353.619,209711.079,23.0,9117.873,3942.0
2023-01-27 11:00:00+00:00,13163,DENİZLİ RES,0.0,65.0,65.0,2023,2023-01,3250.0,2183.385,actual,65.0,211250.0,31687.5,242937.5,23.0,10562.5,4745.0
2023-06-16 07:00:00+00:00,13163,DENİZLİ RES,7.0,52.0,45.0,2023,2023-06,1499.98,2183.385,actual,45.0,67499.1,10124.865,77623.96500000001,23.0,3374.9550000000004,3285.0
2025-03-31 07:00:00+00:00,13163,DENİZLİ RES,0.0,58.0,58.0,2025,2025-03,266.99,2500.01,actual,58.0,15485.42,2322.813,17808.233,36.0,494.6731388888889,4234.0
2025-04-24 10:00:00+00:00,13163,DENİZLİ RES,8.0,52.0,44.0,2025,2025-04,1684.98,2500.01,actual,44.0,74139.12,11120.867999999999,85259.988,36.0,2368.333,3212.0
2024-04-12 09:00:00+00:00,13203,GÜLPINAR RES,0.0,131.18,131.18,2024,2024-04,0.0,2383.24,actual,131.18,0.0,0.0,0.0,32.5,0.0,9576.140000000001
2024-06-18 05:00:00+00:00,13203,GÜLPINAR RES,0.0,102.77,102.77,2024,2024-06,400.0,2383.24,actual,102.77,41108.0,6166.2,47274.2,32.5,1454.5907692307692,7502.21
2025-03-16 07:00:00+00:00,13203,GÜLPINAR RES,0.0,97.72,97.72,2025,2025-03,0.0,2500.01,actual,97.72,0.0,0.0,0.0,36.0,0.0,7133.5599999999995
2025-03-26 13:00:00+00:00,13203,GÜLPINAR RES,3.78,56.53,52.75,2025,2025-03,3000.0,2500.01,actual,52.75,158250.0,23737.5,181987.5,36.0,5055.208333333333,3850.75
2025-03-27 05:00:00+00:00,13203,GÜLPINAR RES,9.04,118.15,109.11000000000001,2025,2025-03,3000.0,2500.01,actual,109.11000000000001,327330.00000000006,49099.50000000001,376429.50000000006,36.0,10456.375000000002,7965.030000000001
2024-03-28 14:00:00+00:00,13423,MASLAKTEPE RES(ENİ),8.23,50.98,42.75,2024,2024-03,2111.11,2383.24,actual,42.75,90249.9525,13537.492875,103787.445375,32.5,3193.4598576923077,3120.75
2025-03-31 22:00:00+00:00,13423,MASLAKTEPE RES(ENİ),2.8,54.58,51.78,2025,2025-03,1939.99,2500.01,actual,51.78,100452.6822,15067.902329999999,115520.58453,36.0,3208.905125833333,3779.94
2022-05-24 01:00:00+00:00,13503,HAVZA RES,1.27,65.0,63.73,2022,2022-05,1975.0,2347.5,actual,63.73,125866.75,18880.0125,144746.7625,16.5,8772.531060606061,4652.29
2022-04-21 21:00:00+00:00,13604,KOCATEPE RES(İzdem),3.36,94.0,90.64,2022,2022-04,2500.0,2347.5,actual,90.64,226600.0,33990.0,260590.0,16.5,15793.333333333334,6616.72
