datetime,plant,ws100,ws10
2025-03-14 13:00:00,ISTANBUL,13.340360437333993,7.1071599907830825
2025-03-14 14:00:00,ISTANBUL,14.291486694368016,6.077425888830438
2025-03-14 15:00:00,ISTANBUL,12.73461272785563,4.39464993587938
2025-03-14 16:00:00,ISTANBUL,12.95157806772964,2.6128981882277844
2025-03-14 17:00:00,ISTANBUL,13.579204139816417,3.05038032922342
2025-03-14 18:00:00,ISTANBUL,13.890811333958187,3.374720638782959
2025-03-14 19:00:00,ISTANBUL,13.229675092351567,3.796663231188093
2025-03-14 20:00:00,ISTANBUL,12.234322276923585,3.956370075646236
2025-03-14 21:00:00,ISTANBUL,13.721183366263974,4.265606186357029
2025-03-14 22:00:00,ISTANBUL,14.832305008289559,4.663702462002828
2025-03-14 23:00:00,ISTANBUL,15.311721866634914,5.484456991363339
2025-03-15 00:00:00,ISTANBUL,15.62060477992633,6.083575376541854
2025-03-15 01:00:00,ISTANBUL,15.96602414112066,5.86616700272039
2025-03-15 02:00:00,ISTANBUL,16.26762456232838,4.865817421585095
2025-03-15 03:00:00,ISTANBUL,17.127435569399125,4.92983337647228
2025-03-15 04:00:00,ISTANBUL,18.18453451671098,4.72107567816153
2025-03-15 05:00:00,ISTANBUL,18.30770047102371,4.809391382578589
2025-03-15 06:00:00,ISTANBUL,18.006321720498725,6.654963337731718
2025-03-15 07:00:00,ISTANBUL,18.17831417559122,7.576064649015731
2025-03-15 08:00:00,ISTANBUL,18.056219368436476,7.4786498242900405
2025-03-15 09:00:00,ISTANBUL,17.86254598889766,7.558590136633176
2025-03-15 10:00:00,ISTANBUL,18.254494659425685,8.170242192483911
2025-03-15 11:00:00,ISTANBUL,17.382278725326255,8.157460318171232
2025-03-15 12:00:00,ISTANBUL,16.130027121519532,7.300670161856529
2025-03-15 13:00:00,ISTANBUL,15.984090706298874,6.01136936785826
2025-03-15 14:00:00,ISTANBUL,16.151335965477372,4.805492047566097
2025-03-15 15:00:00,ISTANBUL,15.847680635391583,3.4716257555301167
2025-03-15 16:00:00,ISTANBUL,16.1804787155045,3.321835009927918
2025-03-15 17:00:00,ISTANBUL,17.310469640951677,3.298328536711737
2025-03-15 18:00:00,ISTANBUL,19.60986642724066,2.8052022259399907
2025-03-15 19:00:00,ISTANBUL,20.025964447396653,2.9773396396994904
2025-03-15 20:00:00,ISTANBUL,20.230234465821606,3.243191988048483
2025-03-15 21:00:00,ISTANBUL,21.772738831142945,3.6505561934479656
2025-03-15 22:00:00,ISTANBUL,23.853734063017694,5.379836862380592
2025-03-15 23:00:00,ISTANBUL,25.771784530008574,7.715952355854875
2025-03-16 00:00:00,ISTANBUL,27.43200232018513,9.56173279853791
2025-03-16 01:00:00,ISTANBUL,27.31754366039314,9.875335472395223
2025-03-16 02:00:00,ISTANBUL,25.16050873155537,8.74321788681422
2025-03-16 03:00:00,ISTANBUL,22.509565641167214,8.327227718843789
2025-03-16 04:00:00,ISTANBUL,23.283037206748425,7.861389030916201
